epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,303.726,0.92241,1.77602,1.35189,0.78855,0.05463,0.09506,0.05174,1.18656,3.16562,1.64744,0.00048,0.00048,0.00048
2,552.619,0.96703,1.33994,1.3561,0.58497,0.14112,0.12833,0.0725,1.14165,2.17073,1.56381,0.000970298,0.000970298,0.000970298
3,794.037,1.02103,1.27141,1.36925,0.34226,0.14416,0.09075,0.04394,1.24606,5.22091,1.81854,0.0014507,0.0014507,0.0014507
4,1085.08,1.05675,1.23457,1.40768,0.18355,0.13657,0.05386,0.02045,1.48433,10.4163,2.22411,0.00192119,0.00192119,0.00192119
5,1327.61,1.12994,1.1729,1.40231,0.13522,0.06373,0.01799,0.00484,2.29188,8.21678,3.08411,0.0019208,0.0019208,0.0019208
6,1684.39,1.01579,1.05414,1.35025,0.13061,0.07132,0.01652,0.00442,2.74593,3.36212,3.00894,0.001901,0.001901,0.001901
7,2248.07,1.02141,1.01012,1.32638,0.5541,0.13809,0.12729,0.08044,1.10338,1.60737,1.33025,0.0018812,0.0018812,0.0018812
8,3176.14,1.00707,0.97095,1.33418,0.89894,0.15023,0.1553,0.11364,0.95286,1.15005,1.18784,0.0018614,0.0018614,0.0018614
9,3883.35,0.96986,0.9207,1.27149,0.88244,0.15175,0.15475,0.11206,1.10917,1.21908,1.32405,0.0018416,0.0018416,0.0018416
10,5154.08,0.92217,0.83273,1.26322,0.31934,0.08953,0.05966,0.01752,3.13913,2.11105,5.27725,0.0018218,0.0018218,0.0018218
11,5693.66,0.96688,0.85001,1.27749,0.68602,0.14719,0.14626,0.0881,1.24279,1.36219,1.60008,0.001802,0.001802,0.001802
12,6106,0.86937,0.77742,1.25334,0.25562,0.10926,0.06387,0.02293,2.60044,2.29684,3.80123,0.0017822,0.0017822,0.0017822
13,6571.29,0.88477,0.75318,1.2326,0.88543,0.15023,0.1607,0.10686,1.17799,0.95317,1.2536,0.0017624,0.0017624,0.0017624
14,7136.3,0.87552,0.73685,1.23014,0.99621,0.15175,0.16057,0.13086,0.81211,0.75765,1.00583,0.0017426,0.0017426,0.0017426
15,7692.62,0.88303,0.75086,1.23487,0.98427,0.15175,0.16419,0.13581,0.73672,0.62312,0.95677,0.0017228,0.0017228,0.0017228
16,8348.8,0.83398,0.71478,1.23065,0.99454,0.15175,0.17229,0.13556,0.77052,0.65356,0.94373,0.001703,0.001703,0.001703
17,9195.89,0.88997,0.7675,1.23631,0.87813,0.15023,0.16616,0.12505,0.88506,0.68794,1.02601,0.0016832,0.0016832,0.0016832
18,9879.04,0.85955,0.72096,1.21111,0.8965,0.15175,0.16625,0.13013,0.88728,0.76899,1.0341,0.0016634,0.0016634,0.0016634
19,10378.6,0.87266,0.69279,1.22309,0.80796,0.14112,0.14425,0.07247,1.73004,1.16789,2.03325,0.0016436,0.0016436,0.0016436
20,10846.2,0.8433,0.71983,1.21168,0.98133,0.15175,0.16501,0.13753,0.73773,0.58873,0.96655,0.0016238,0.0016238,0.0016238
21,11272.4,0.83773,0.69476,1.20865,0.9869,0.15175,0.16463,0.13407,0.79647,0.63083,0.96411,0.001604,0.001604,0.001604
22,11730.3,0.79901,0.65072,1.19695,0.98765,0.15175,0.17211,0.14475,0.71038,0.53388,0.87421,0.0015842,0.0015842,0.0015842
23,12184.6,0.77364,0.68632,1.16556,0.94911,0.15175,0.17303,0.13816,0.73163,0.60496,0.90172,0.0015644,0.0015644,0.0015644
24,12531.5,0.80788,0.6612,1.19399,0.97444,0.15175,0.16675,0.13591,0.79362,0.59889,0.96553,0.0015446,0.0015446,0.0015446
25,12894.7,0.78419,0.64892,1.17622,0.99875,0.15175,0.16601,0.14074,0.70638,0.53141,0.90081,0.0015248,0.0015248,0.0015248
26,13270.3,0.78867,0.67297,1.17527,0.94832,0.15175,0.16846,0.14044,0.69497,0.57827,0.89823,0.001505,0.001505,0.001505
27,13654.3,0.76069,0.62599,1.15918,0.98855,0.15175,0.16951,0.14205,0.68804,0.54511,0.83216,0.0014852,0.0014852,0.0014852
28,14036.8,0.79271,0.66747,1.18117,0.98485,0.15175,0.17252,0.13287,0.86946,0.65911,0.95637,0.0014654,0.0014654,0.0014654
29,14412.7,0.75849,0.64354,1.1667,0.96867,0.15175,0.17327,0.14025,0.69948,0.57235,0.85518,0.0014456,0.0014456,0.0014456
30,14750.7,0.76147,0.62555,1.16259,0.95493,0.15175,0.18324,0.15472,0.67828,0.54807,0.86627,0.0014258,0.0014258,0.0014258
31,15132.5,0.75497,0.5957,1.14151,0.95902,0.15175,0.16754,0.1443,0.63463,0.54771,0.83982,0.001406,0.001406,0.001406
32,15555.5,0.73277,0.60758,1.14416,0.57164,0.13202,0.13924,0.0565,2.29912,1.62935,2.90396,0.0013862,0.0013862,0.0013862
33,16188.7,0.74302,0.60716,1.14907,0.97866,0.15175,0.17567,0.14316,0.65664,0.51303,0.84233,0.0013664,0.0013664,0.0013664
34,16790.8,0.77494,0.64363,1.17055,0.95864,0.15175,0.1693,0.14719,0.60403,0.48347,0.83351,0.0013466,0.0013466,0.0013466
35,17461.3,0.75006,0.62909,1.17302,0.59948,0.14568,0.14294,0.07963,1.2239,1.4922,1.63931,0.0013268,0.0013268,0.0013268
36,18077.4,0.75513,0.6359,1.15387,0.78092,0.15023,0.16797,0.11513,1.19288,1.05612,1.3063,0.001307,0.001307,0.001307
37,18579.2,0.72072,0.60837,1.13476,0.99807,0.15175,0.17821,0.15471,0.59491,0.46761,0.80879,0.0012872,0.0012872,0.0012872
38,19424.7,0.72301,0.59107,1.14332,0.9993,0.15175,0.17451,0.15157,0.55871,0.43968,0.79509,0.0012674,0.0012674,0.0012674
39,20017.9,0.72029,0.59198,1.14187,0.99925,0.15175,0.17926,0.14889,0.66462,0.48018,0.8039,0.0012476,0.0012476,0.0012476
40,20495.5,0.72762,0.61094,1.15338,0.99834,0.15175,0.17607,0.14786,0.57925,0.46977,0.78781,0.0012278,0.0012278,0.0012278
41,21014.5,0.68604,0.58826,1.12181,0.98605,0.15175,0.1742,0.14502,0.68465,0.51501,0.8035,0.001208,0.001208,0.001208
42,21558.2,0.7091,0.61282,1.13644,0.98941,0.15175,0.16996,0.14852,0.55672,0.45358,0.78151,0.0011882,0.0011882,0.0011882
43,22133.7,0.68744,0.59348,1.13297,0.99753,0.15175,0.17836,0.14986,0.61464,0.49688,0.82215,0.0011684,0.0011684,0.0011684
44,22705.8,0.70685,0.59001,1.12244,0.99923,0.15175,0.17775,0.14716,0.62834,0.46817,0.83561,0.0011486,0.0011486,0.0011486
45,23377.4,0.73417,0.60523,1.14094,0.99773,0.15175,0.17552,0.14839,0.59587,0.49992,0.79647,0.0011288,0.0011288,0.0011288
46,23865.5,0.70967,0.59778,1.1268,0.99136,0.15175,0.18484,0.15612,0.57821,0.50075,0.81477,0.001109,0.001109,0.001109
47,24281.8,0.70791,0.57413,1.13188,0.99794,0.15175,0.18858,0.16015,0.54405,0.43611,0.77719,0.0010892,0.0010892,0.0010892
48,24729.1,0.68307,0.56284,1.11753,1,0.15325,0.18897,0.15558,0.53559,0.44557,0.7543,0.0010694,0.0010694,0.0010694
49,25271.4,0.67397,0.55799,1.11006,0.97198,0.15175,0.18112,0.14341,0.66351,0.50563,0.82952,0.0010496,0.0010496,0.0010496
50,25701.8,0.69019,0.57888,1.12734,0.72762,0.14416,0.16122,0.0941,1.38188,1.13805,1.67644,0.0010298,0.0010298,0.0010298
51,26118.4,0.67462,0.5705,1.13032,0.99028,0.15175,0.18711,0.15528,0.59436,0.4732,0.78427,0.00101,0.00101,0.00101
52,26649.2,0.64348,0.54211,1.09798,0.99867,0.15175,0.18576,0.15748,0.51702,0.41039,0.75024,0.0009902,0.0009902,0.0009902
53,27273.7,0.69674,0.53641,1.12,1,0.15316,0.18084,0.15636,0.44812,0.38096,0.71476,0.0009704,0.0009704,0.0009704
54,27740.4,0.67167,0.55815,1.11192,0.9903,0.15175,0.18187,0.15867,0.49181,0.4019,0.72322,0.0009506,0.0009506,0.0009506
55,28321.5,0.6525,0.53797,1.10009,0.99024,0.15175,0.18256,0.15642,0.54565,0.44069,0.7468,0.0009308,0.0009308,0.0009308
56,28885.7,0.66288,0.56442,1.1281,0.99929,0.15175,0.18688,0.15782,0.56747,0.46782,0.79764,0.000911,0.000911,0.000911
57,29501.9,0.66263,0.55354,1.11822,0.9969,0.15175,0.18641,0.16156,0.50581,0.41937,0.73524,0.0008912,0.0008912,0.0008912
58,30185.6,0.61846,0.52873,1.0898,0.98262,0.15175,0.18732,0.16165,0.49511,0.40956,0.73266,0.0008714,0.0008714,0.0008714
59,30880.7,0.62178,0.52481,1.10278,0.98046,0.15175,0.18591,0.15726,0.48717,0.38313,0.72728,0.0008516,0.0008516,0.0008516
60,31640.5,0.65671,0.52357,1.12435,0.99902,0.15175,0.18892,0.14517,0.7295,0.57296,0.93638,0.0008318,0.0008318,0.0008318
61,32331.7,0.62465,0.51068,1.09081,0.9901,0.15175,0.19072,0.15844,0.51933,0.41056,0.74325,0.000812,0.000812,0.000812
62,33002.8,0.6354,0.52038,1.09844,0.99592,0.15175,0.19051,0.16255,0.48265,0.38863,0.73709,0.0007922,0.0007922,0.0007922
63,33682.2,0.6126,0.50833,1.07952,0.99086,0.15326,0.1922,0.16268,0.49523,0.40762,0.73879,0.0007724,0.0007724,0.0007724
64,34421.5,0.65192,0.54156,1.10847,0.94427,0.15426,0.19145,0.16323,0.54819,0.45118,0.77083,0.0007526,0.0007526,0.0007526
65,35196.2,0.58784,0.48368,1.06219,0.9713,0.15326,0.19,0.16608,0.48908,0.38252,0.72155,0.0007328,0.0007328,0.0007328
66,36365.3,0.60828,0.50102,1.08144,0.97111,0.15301,0.18244,0.15997,0.49437,0.38874,0.71758,0.000713,0.000713,0.000713
67,38258.4,0.628,0.52856,1.1162,0.95575,0.15326,0.19005,0.16033,0.47491,0.39383,0.70618,0.0006932,0.0006932,0.0006932
68,43725.4,0.601,0.50677,1.06872,0.99923,0.15175,0.18495,0.15746,0.48514,0.40059,0.7177,0.0006734,0.0006734,0.0006734
69,44059.5,0.59923,0.49857,1.07835,0.9992,0.15175,0.18607,0.16183,0.48315,0.38931,0.70906,0.0006536,0.0006536,0.0006536
70,44497.4,0.62059,0.51306,1.08857,0.98916,0.15175,0.19282,0.16194,0.53618,0.4427,0.74114,0.0006338,0.0006338,0.0006338
71,44967.5,0.62822,0.52778,1.09828,1,0.15316,0.19355,0.16087,0.5488,0.42189,0.74691,0.000614,0.000614,0.000614
72,45421.2,0.59877,0.50184,1.08334,1,0.15324,0.19444,0.16241,0.45377,0.3778,0.69233,0.0005942,0.0005942,0.0005942
73,45902.6,0.58954,0.4845,1.07428,0.96982,0.15478,0.19858,0.16633,0.4569,0.38521,0.69927,0.0005744,0.0005744,0.0005744
74,46367.4,0.61829,0.50642,1.10324,0.98842,0.15478,0.19598,0.16599,0.47439,0.37499,0.70923,0.0005546,0.0005546,0.0005546
75,46935.3,0.61229,0.50797,1.0904,0.95152,0.1563,0.20064,0.16951,0.45471,0.37766,0.70574,0.0005348,0.0005348,0.0005348
76,47762.1,0.59222,0.4915,1.06985,0.8947,0.16085,0.20472,0.16957,0.46949,0.36875,0.69933,0.000515,0.000515,0.000515
77,48296.6,0.60533,0.52093,1.08195,0.92204,0.16152,0.19794,0.17145,0.43798,0.34891,0.68368,0.0004952,0.0004952,0.0004952
78,48595.2,0.61458,0.51805,1.08253,0.94562,0.15326,0.19914,0.17056,0.45253,0.35642,0.69162,0.0004754,0.0004754,0.0004754
79,48878.7,0.55952,0.47398,1.06007,0.92146,0.1563,0.19933,0.17073,0.4362,0.35686,0.68859,0.0004556,0.0004556,0.0004556
80,49155.3,0.59644,0.48726,1.07918,0.97901,0.15175,0.19714,0.16928,0.43358,0.35954,0.67408,0.0004358,0.0004358,0.0004358
81,49444.9,0.59375,0.48153,1.07659,0.99604,0.15326,0.19542,0.16736,0.43175,0.35955,0.68058,0.000416,0.000416,0.000416
82,49974.5,0.58457,0.48963,1.07996,0.98389,0.15326,0.19402,0.16637,0.45248,0.36144,0.68927,0.0003962,0.0003962,0.0003962
83,50626.7,0.57212,0.48624,1.07989,0.98764,0.15478,0.19531,0.16813,0.42795,0.35371,0.67643,0.0003764,0.0003764,0.0003764
84,51152.2,0.56661,0.47227,1.06554,0.87396,0.15783,0.20166,0.17087,0.42348,0.34204,0.6752,0.0003566,0.0003566,0.0003566
85,51589.3,0.57133,0.47564,1.053,0.88397,0.15781,0.20121,0.16977,0.41459,0.32846,0.67645,0.0003368,0.0003368,0.0003368
86,52196.1,0.58078,0.4888,1.07426,0.94455,0.1551,0.19604,0.16746,0.42765,0.34552,0.66901,0.000317,0.000317,0.000317
87,52758.4,0.55443,0.47466,1.04731,0.98082,0.15175,0.19592,0.16807,0.41205,0.35685,0.66202,0.0002972,0.0002972,0.0002972
88,53217.6,0.54546,0.48973,1.06475,0.98238,0.15326,0.20012,0.17256,0.40622,0.35346,0.65877,0.0002774,0.0002774,0.0002774
89,53660.1,0.55163,0.47255,1.04563,1,0.15316,0.20566,0.17317,0.41421,0.34886,0.6606,0.0002576,0.0002576,0.0002576
